Attribute	AttributeID
TE10	TE10_OESOPHAGUS
TE15	TE15_OESOPHAGUS
TE9	TE9_OESOPHAGUS
THP1	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TOV112D	TOV112D_OVARY
TOV21G	TOV21G_OVARY
TT	TT_OESOPHAGUS
TYKNU	TYKNU_OVARY
U178	U178_CENTRAL_NERVOUS_SYSTEM
U251MG	U251MG_CENTRAL_NERVOUS_SYSTEM
U343	U343_CENTRAL_NERVOUS_SYSTEM
U87MG	U87MG_CENTRAL_NERVOUS_SYSTEM
UOK101	UOK101_KIDNEY
VCAP	VCAP_PROSTATE
YKG1	YKG1_CENTRAL_NERVOUS_SYSTEM
ZR7530	ZR7530_BREAST
